Percentile,1999 to 2000,2000 to 2001,2001 to 2002,2002 to 2003,2003 to 2004,2004 to 2005,2005 to 2006,2006 to 2007,2007 to 2008,2009 to 2010,2010 to 2011,2011 to 2012,2012 to 2013,2013 to 2014,2014 to 2015,2015 to 2016,2016 to 2017,2017 to 2018,2018 to 2019,2019 to 2020,2020 to 2021,2021 to 2022,2022 to 2023
 26 , 9450 , 9480 , 10100 , 10200 , 10300 , 10500 , 11000 , 11400 , 12000 , 13200 , 13000 , 13800 , 14500 , 15200 , 15700 , 16300 , 16900 , 17600 , 18000 , 18900 , 19100 , 19700 , 20300 
 27 , 9620 , 9680 , 10300 , 10400 , 10600 , 10700 , 11300 , 11700 , 12300 , 13400 , 13200 , 14000 , 14700 , 15500 , 16000 , 16600 , 17100 , 17800 , 18300 , 19100 , 19400 , 19900 , 20600 
 28 , 9800 , 9880 , 10500 , 10600 , 10800 , 11000 , 11500 , 11900 , 12500 , 13700 , 13500 , 14300 , 14900 , 15700 , 16200 , 16800 , 17400 , 18100 , 18500 , 19400 , 19600 , 20200 , 20900 
 29 , 9990 , 10100 , 10800 , 10900 , 11000 , 11200 , 11700 , 12100 , 12700 , 13900 , 13700 , 14500 , 15200 , 15900 , 16400 , 17100 , 17600 , 18300 , 18800 , 19600 , 19900 , 20500 , 21200 
 30 , 10200 , 10300 , 11000 , 11100 , 11200 , 11400 , 11900 , 12400 , 13000 , 14100 , 13900 , 14700 , 15400 , 16200 , 16700 , 17300 , 17800 , 18600 , 19000 , 19900 , 20100 , 20800 , 21500 
 31 , 10400 , 10500 , 11200 , 11300 , 11400 , 11600 , 12100 , 12600 , 13200 , 14400 , 14200 , 15000 , 15700 , 16400 , 16900 , 17600 , 18100 , 18800 , 19300 , 20200 , 20400 , 21000 , 21800 
 32 , 10600 , 10700 , 11400 , 11500 , 11700 , 11800 , 12400 , 12800 , 13500 , 14600 , 14400 , 15200 , 15900 , 16700 , 17200 , 17800 , 18300 , 19100 , 19500 , 20400 , 20600 , 21300 , 22200 
 33 , 10800 , 10900 , 11600 , 11800 , 11900 , 12100 , 12600 , 13100 , 13700 , 14900 , 14700 , 15500 , 16100 , 16900 , 17400 , 18100 , 18600 , 19300 , 19800 , 20700 , 20900 , 21600 , 22500 
 34 , 11000 , 11200 , 11900 , 12000 , 12100 , 12300 , 12900 , 13300 , 14000 , 15100 , 14900 , 15800 , 16400 , 17200 , 17700 , 18300 , 18800 , 19600 , 20100 , 21000 , 21200 , 21900 , 22800 
 35 , 11200 , 11400 , 12100 , 12200 , 12300 , 12500 , 13100 , 13600 , 14200 , 15400 , 15200 , 16000 , 16700 , 17400 , 17900 , 18600 , 19100 , 19900 , 20300 , 21200 , 21500 , 22200 , 23100 
